Month,"Electricity Net Generation, Electric Power Sector","Electricity Net Generation, Commercial Sector","Electricity Net Generation, Industrial Sector","Electricity Net Generation, Total",Electricity Imports,Electricity Exports,Electricity Net Imports,Transmission and Distribution Losses and Unaccounted for,Electricity Sales to Ultimate Customers,Electricity Direct Use,"Electricity End Use, Total"
1989-01-01,236.975,0.284,9.506,246.766,2.117,0.729,1.388,13.59,225.617,8.948,234.564
1989-02-01,224.276,0.308,9.199,233.783,2.69,0.854,1.837,11.952,214.979,8.688,223.667
1989-03-01,231.698,0.325,9.924,241.946,2.132,1.518,0.614,16.577,216.618,9.366,225.984
1989-04-01,213.179,0.328,9.362,222.869,2.133,1.158,0.975,13.063,201.925,8.856,210.781
1989-05-01,225.575,0.35,8.9,234.825,2.273,1.083,1.19,25.638,201.923,8.454,210.377
1989-06-01,241.293,0.372,9.254,250.919,2.141,0.553,1.588,21.923,221.786,8.797,230.583
1989-07-01,263.45,0.43,9.578,273.458,3.252,1.098,2.154,26.173,240.293,9.146,249.439
1989-08-01,264.963,0.42,10.036,275.42,2.62,0.905,1.715,23.934,243.644,9.556,253.2
1989-09-01,233.024,0.381,9.389,242.794,1.927,1.02,0.906,2.828,231.944,8.928,240.873
1989-10-01,225.641,0.369,9.659,235.669,1.651,1.627,0.025,15.036,211.494,9.164,220.658
1989-11-01,224.267,0.328,9.655,234.25,1.375,2.271,-0.897,18.492,205.738,9.124,214.861
1989-12-01,263.885,0.356,10.207,274.448,1.799,2.318,-0.519,33.427,230.849,9.654,240.503
1990-01-01,243.779,0.393,11.015,255.187,1.259,1.594,-0.336,3.575,240.881,10.395,251.276
1990-02-01,218.83,0.353,10.316,229.499,0.706,1.724,-1.018,5.356,213.404,9.722,223.126
1990-03-01,233.252,0.438,11.072,244.761,0.778,1.87,-1.092,19.063,214.12,10.487,224.607
1990-04-01,218.373,0.445,10.952,229.77,1.062,1.498,-0.436,13.784,205.165,10.384,215.549
1990-05-01,230.832,0.489,10.452,241.774,1.321,1.63,-0.309,23.273,208.222,9.97,218.192
1990-06-01,258.176,0.583,10.233,268.992,1.582,1.823,-0.241,31.91,226.986,9.856,236.842
1990-07-01,275.71,0.618,11.119,287.448,2.373,1.384,0.989,26.209,251.533,10.695,262.228
1990-08-01,278.19,0.634,11.831,290.655,2.032,1.226,0.806,28.038,252.065,11.358,263.423
1990-09-01,246.662,0.558,11.137,258.357,2.101,1.479,0.622,3.243,245.08,10.656,255.736
1990-10-01,232.783,0.506,11.083,244.372,2.481,0.999,1.481,12.993,222.301,10.56,232.86
1990-11-01,220.509,0.408,10.325,231.242,1.38,0.374,1.006,12.553,209.916,9.78,219.695
1990-12-01,244.224,0.411,11.134,255.77,1.37,0.533,0.838,23.206,222.882,10.52,233.402
1991-01-01,256.755,0.414,12.046,269.214,1.255,0.32,0.935,17.715,241.253,11.181,252.434
1991-02-01,217.949,0.352,9.989,228.29,0.781,0.087,0.693,0.509,219.194,9.28,228.474
1991-03-01,229.692,0.423,10.446,240.561,1.264,0.089,1.176,17.756,214.226,9.754,223.98
1991-04-01,217.484,0.44,9.875,227.799,1.379,0.052,1.328,13.498,206.371,9.257,215.628
1991-05-01,243.999,0.5,10.374,254.873,1.669,0.055,1.614,29.411,217.318,9.758,227.076
1991-06-01,258.098,0.511,10.49,269.099,1.243,0.185,1.058,22.322,237.963,9.872,247.835
1991-07-01,283.052,0.592,11.004,294.648,2.54,0.441,2.099,29.408,256.933,10.407,267.34
1991-08-01,279.481,0.602,12.075,292.159,2.834,0.339,2.495,25.077,258.199,11.377,269.576
1991-09-01,243.747,0.506,11.774,256.027,2.373,0.208,2.165,2.753,244.419,11.02,255.44
1991-10-01,233.308,0.492,11.578,245.378,2.582,0.183,2.4,15.389,221.557,10.832,232.389
1991-11-01,230.132,0.429,11.1,241.661,1.956,0.115,1.841,16.444,216.712,10.346,227.059
1991-12-01,241.863,0.397,11.829,254.089,2.055,0.232,1.823,17.083,227.857,10.971,238.828
1992-01-01,254.276,0.456,13.041,267.773,2.236,0.344,1.893,18.819,238.764,12.083,250.847
1992-02-01,227.67,0.433,11.412,239.514,2.33,0.411,1.92,4.598,226.233,10.603,236.836
1992-03-01,235.536,0.489,11.707,247.733,1.62,0.337,1.283,18.088,220.009,10.919,230.928
1992-04-01,221.761,0.496,11.148,233.406,1.838,0.279,1.559,12.579,211.962,10.424,222.386
1992-05-01,231.471,0.52,10.421,242.412,2.006,0.165,1.841,20.773,213.685,9.795,223.48
1992-06-01,248.93,0.565,11.582,261.077,1.93,0.221,1.709,24.633,227.279,10.874,238.153
1992-07-01,280.489,0.683,12.444,293.617,3.061,0.245,2.816,31.593,253.088,11.752,264.84
1992-08-01,268.665,0.628,12.635,281.927,2.61,0.265,2.345,19.409,252.99,11.873,264.863
1992-09-01,247.35,0.58,11.996,259.925,2.543,0.183,2.36,11.037,239.99,11.258,251.248
1992-10-01,232.239,0.489,12.266,244.994,2.831,0.129,2.702,11.486,224.792,11.418,236.21
1992-11-01,231.404,0.437,12.321,244.162,2.596,0.126,2.47,16.704,218.506,11.421,229.928
1992-12-01,254.585,0.451,12.307,267.343,2.646,0.123,2.523,22.378,236.066,11.421,247.488
1993-01-01,257.843,0.503,12.675,271.021,2.35,0.143,2.206,18.01,243.247,11.97,255.217
1993-02-01,235.701,0.47,11.844,248.015,2.215,0.145,2.07,10.421,228.478,11.185,239.663
1993-03-01,248.032,0.555,12.661,261.248,2.246,0.21,2.036,18.606,232.675,12.003,244.678
1993-04-01,222.84,0.469,11.386,234.695,1.743,0.218,1.525,9.623,215.829,10.768,226.597
1993-05-01,233.572,0.466,10.288,244.326,1.821,0.787,1.034,21.027,214.565,9.768,224.333
1993-06-01,263.642,0.631,11.087,275.36,1.949,0.893,1.057,28.424,237.349,10.643,247.992
1993-07-01,299.286,0.777,12.162,312.225,2.922,0.42,2.502,32.763,270.211,11.753,281.964
1993-08-01,296.936,0.811,13.703,311.45,3.366,0.155,3.211,27.648,273.83,13.183,287.013
1993-09-01,251.004,0.645,12.384,264.032,3.04,0.149,2.891,2.402,252.687,11.834,264.521
1993-10-01,237.317,0.6,12.636,250.553,3.351,0.13,3.221,13.424,228.327,12.022,240.349
1993-11-01,238.942,0.554,12.606,252.102,3.159,0.152,3.007,20.215,222.941,11.954,234.895
1993-12-01,258.782,0.52,12.863,272.165,3.196,0.139,3.057,21.744,241.322,12.155,253.477
1994-01-01,274.862,0.533,14.373,289.768,3.509,0.147,3.362,19.538,259.858,13.735,273.593
1994-02-01,236.341,0.461,12.37,249.172,3.938,0.117,3.821,2.318,238.852,11.823,250.675
1994-03-01,244.742,0.533,12.723,257.998,4.635,0.12,4.515,18.516,231.782,12.215,243.997
1994-04-01,228.071,0.549,12.017,240.637,3.376,0.132,3.244,12.233,220.068,11.579,231.647
1994-05-01,241.149,0.575,11.02,252.745,3.624,0.14,3.484,23.495,222.049,10.685,232.734
1994-06-01,281.196,0.768,12.198,294.162,3.867,0.208,3.659,33.153,252.721,11.947,264.668
1994-07-01,296.942,0.833,13.481,311.257,4.28,0.156,4.123,24.182,278.007,13.19,291.197
1994-08-01,293.669,0.854,13.082,307.605,4.471,0.185,4.286,26.21,272.839,12.841,285.68
1994-09-01,253.377,0.687,12.197,266.262,3.734,0.198,3.536,3.041,254.884,11.873,266.757
1994-10-01,243.158,0.654,12.716,256.528,3.743,0.168,3.575,14.028,233.755,12.32,246.075
1994-11-01,238.846,0.595,12.427,251.868,3.814,0.186,3.627,16.969,226.528,12.0,238.527
1994-12-01,256.37,0.576,12.574,269.52,3.843,0.253,3.59,17.773,243.219,12.117,255.337
1995-01-01,266.982,0.572,12.219,279.773,3.514,0.169,3.346,15.737,255.281,12.102,267.382
1995-02-01,240.551,0.515,11.241,252.307,3.638,0.273,3.365,5.41,239.139,11.123,250.262
1995-03-01,248.586,0.618,12.138,261.343,4.155,0.565,3.59,16.398,236.465,12.069,248.535
1995-04-01,231.845,0.619,12.272,244.736,3.822,0.379,3.443,14.124,221.859,12.196,234.055
1995-05-01,251.804,0.622,11.862,264.288,3.724,0.227,3.497,26.385,229.589,11.812,241.4
1995-06-01,273.764,0.735,11.759,286.258,3.978,0.399,3.579,23.006,255.01,11.821,266.831
1995-07-01,315.391,0.936,14.089,330.416,4.223,0.647,3.575,38.23,281.546,14.215,295.762
1995-08-01,329.966,1.049,14.765,345.78,4.628,0.277,4.35,36.168,299.0,14.962,313.962
1995-09-01,264.128,0.769,12.678,277.575,3.262,0.175,3.088,1.955,265.986,12.722,278.708
1995-10-01,250.466,0.647,12.865,263.978,2.92,0.114,2.806,12.948,241.053,12.784,253.837
1995-11-01,248.569,0.588,12.322,261.478,2.468,0.157,2.312,16.097,235.479,12.214,247.693
1995-12-01,272.179,0.562,12.814,285.554,2.521,0.24,2.281,22.298,252.882,12.655,265.537
1996-01-01,283.164,0.614,13.145,296.923,2.6,0.259,2.341,13.96,272.182,13.122,285.304
1996-02-01,258.386,0.571,11.728,270.685,2.986,0.164,2.822,5.673,256.104,11.73,267.834
1996-03-01,261.97,0.619,12.43,275.019,3.344,0.172,3.172,16.712,249.033,12.445,261.478
1996-04-01,240.062,0.6,10.951,251.613,3.214,0.115,3.099,13.358,230.337,11.016,241.353
1996-05-01,269.65,0.792,11.824,282.266,3.4,0.387,3.014,33.581,239.667,12.032,251.7
1996-06-01,289.121,0.904,12.692,302.717,4.0,0.259,3.741,27.591,265.901,12.966,278.867
1996-07-01,313.189,1.043,13.476,327.708,4.792,0.268,4.524,32.415,285.971,13.847,299.818
1996-08-01,314.253,1.01,14.024,329.286,5.377,0.308,5.068,30.144,289.873,14.338,304.211
1996-09-01,269.833,0.855,12.463,283.151,4.038,0.339,3.699,6.132,268.016,12.702,280.718
1996-10-01,257.615,0.77,13.061,271.446,3.371,0.203,3.169,16.192,245.232,13.192,258.423
1996-11-01,255.681,0.656,12.785,269.122,3.269,0.252,3.017,18.529,240.792,12.819,253.611
1996-12-01,271.216,0.596,12.437,284.25,3.106,0.576,2.53,16.33,258.019,12.43,270.449
1997-01-01,286.626,0.546,13.402,300.574,3.074,0.559,2.515,14.437,275.266,13.386,288.652
1997-02-01,245.914,0.524,11.693,258.131,2.768,0.73,2.038,-2.334,250.778,11.725,262.503
1997-03-01,259.078,0.605,12.574,272.258,3.102,0.598,2.504,18.561,243.552,12.649,256.201
1997-04-01,245.431,0.635,12.218,258.284,3.467,0.512,2.955,14.148,234.755,12.335,247.091
1997-05-01,259.716,0.704,12.493,272.914,2.872,0.57,2.302,25.777,236.773,12.666,249.439
1997-06-01,285.909,0.805,12.378,299.092,3.608,0.608,3.0,28.017,261.423,12.652,274.074
1997-07-01,329.793,1.037,13.687,344.516,4.641,0.599,4.042,38.17,296.258,14.131,310.389
1997-08-01,318.125,0.975,13.799,332.899,4.525,0.538,3.987,28.342,294.365,14.179,308.544
1997-09-01,287.287,0.854,12.915,301.057,3.776,0.84,2.936,12.062,278.717,13.215,291.931
1997-10-01,270.7,0.736,13.534,284.971,3.746,1.519,2.228,10.64,262.863,13.696,276.559
1997-11-01,257.924,0.614,12.584,271.121,3.795,1.155,2.64,14.535,246.56,12.666,259.225
1997-12-01,282.872,0.665,12.819,296.356,3.658,0.747,2.912,22.026,264.3,12.941,277.242
1998-01-01,281.337,0.548,13.375,295.26,2.697,1.132,1.565,11.974,271.099,13.751,284.851
1998-02-01,248.634,0.481,11.475,260.59,2.495,1.068,1.427,0.949,249.26,11.808,261.068
1998-03-01,273.664,0.62,12.594,286.878,2.954,1.069,1.884,22.036,253.675,13.051,266.726
1998-04-01,248.57,0.597,12.063,261.23,3.369,0.804,2.566,11.747,239.545,12.503,252.048
1998-05-01,286.065,0.773,12.801,299.64,3.166,1.065,2.101,34.654,253.68,13.407,267.087
1998-06-01,315.857,0.869,12.178,328.903,3.452,1.321,2.13,34.155,283.993,12.885,296.878
1998-07-01,346.861,1.02,14.055,361.936,4.615,1.147,3.468,36.994,313.522,14.889,328.411
1998-08-01,341.973,1.028,14.365,357.366,5.108,0.793,4.315,27.824,318.655,15.202,333.857
1998-09-01,304.726,0.894,13.304,318.924,3.85,1.234,2.616,10.421,297.097,14.022,311.12
1998-10-01,270.862,0.704,12.88,284.446,3.005,1.531,1.474,6.201,266.303,13.416,279.719
1998-11-01,254.7,0.557,11.88,267.136,2.262,1.331,0.931,5.77,250.014,12.283,262.297
1998-12-01,284.166,0.658,13.162,297.986,2.54,1.16,1.38,18.331,267.386,13.649,281.035
1999-01-01,301.516,0.598,13.7,315.814,2.329,1.546,0.783,18.175,283.533,14.888,298.421
1999-02-01,262.375,0.544,11.901,274.82,2.1,1.376,0.723,11.435,251.15,12.959,264.108
1999-03-01,285.337,0.638,12.17,298.145,2.557,1.886,0.671,24.706,260.773,13.336,274.11
1999-04-01,267.295,0.713,12.711,280.719,3.836,1.348,2.489,22.442,246.788,13.978,260.766
1999-05-01,285.908,0.756,13.435,300.098,3.768,1.226,2.541,33.507,254.356,14.776,269.133
1999-06-01,315.311,0.835,12.778,328.924,3.558,1.063,2.495,32.511,284.733,14.174,298.908
1999-07-01,361.077,1.006,14.455,376.538,3.557,0.908,2.649,38.773,324.315,16.099,340.414
1999-08-01,348.523,0.968,14.541,364.031,3.531,0.618,2.913,27.815,322.98,16.149,339.129
1999-09-01,291.766,0.733,13.017,305.516,4.594,0.593,4.001,0.401,294.798,14.317,309.115
1999-10-01,270.8,0.668,12.467,283.935,4.628,1.326,3.302,8.161,265.399,13.677,279.076
1999-11-01,258.026,0.551,12.519,271.096,4.58,1.049,3.531,8.489,252.529,13.609,266.138
1999-12-01,282.049,0.554,12.571,295.174,4.178,1.283,2.895,13.671,270.732,13.667,284.399
2000-01-01,315.035,0.567,12.392,327.994,3.641,0.73,2.911,29.681,287.764,13.46,301.224
2000-02-01,281.3,0.523,12.346,294.169,3.958,0.598,3.36,12.067,272.095,13.367,285.462
2000-03-01,288.212,0.605,12.763,301.58,3.682,1.022,2.66,27.937,262.418,13.885,276.303
2000-04-01,272.47,0.608,12.5,285.578,3.737,1.232,2.505,25.292,249.175,13.615,262.79
2000-05-01,309.092,0.765,13.096,322.954,4.296,1.343,2.953,42.246,269.263,14.398,283.661
2000-06-01,325.431,0.743,12.88,339.054,4.579,1.642,2.937,28.077,299.765,14.15,313.914
2000-07-01,342.104,0.837,13.587,356.528,5.234,0.844,4.39,28.37,317.566,14.982,332.548
2000-08-01,353.254,0.891,14.525,368.669,5.459,0.93,4.529,26.454,330.733,16.012,346.745
2000-09-01,298.835,0.703,12.909,312.447,4.381,1.088,3.293,-2.092,303.693,14.138,317.831
2000-10-01,275.711,0.605,13.135,289.452,2.761,1.138,1.622,3.967,272.835,14.272,287.107
2000-11-01,271.325,0.536,12.809,284.67,3.442,1.185,2.257,8.946,264.121,13.861,277.982
2000-12-01,304.761,0.519,13.731,319.011,3.422,3.077,0.344,12.566,291.988,14.801,306.789
2001-01-01,318.736,0.629,13.128,332.493,3.415,1.549,1.865,9.223,310.846,14.289,325.135
2001-02-01,270.971,0.548,11.421,282.94,3.316,2.852,0.464,-1.351,272.324,12.432,284.756
2001-03-01,287.7,0.553,12.454,300.707,3.527,1.793,1.734,19.616,269.315,13.51,282.825
2001-04-01,265.855,0.55,11.674,278.079,3.793,1.415,2.378,13.434,254.326,12.697,267.023
2001-05-01,288.166,0.575,11.751,300.492,4.416,1.549,2.867,26.113,264.442,12.803,277.245
2001-06-01,315.148,0.598,11.949,327.694,3.695,1.276,2.42,27.103,289.979,13.032,303.011
2001-07-01,343.834,0.732,13.048,357.614,3.521,1.173,2.348,29.799,315.85,14.313,330.163
2001-08-01,356.152,0.814,13.566,370.533,3.751,1.158,2.593,25.933,332.256,14.937,347.193
2001-09-01,293.882,0.636,12.412,306.929,1.936,1.321,0.615,-2.05,296.042,13.552,309.594
2001-10-01,281.391,0.622,12.721,294.734,1.775,0.797,0.978,14.257,267.596,13.859,281.455
2001-11-01,266.155,0.548,12.23,278.934,2.136,0.986,1.15,13.868,252.943,13.273,266.216
2001-12-01,292.063,0.611,12.822,305.496,3.22,0.604,2.616,25.621,268.538,13.953,282.491
2002-01-01,306.171,0.597,13.173,319.941,3.306,0.841,2.465,17.136,290.967,14.303,305.271
2002-02-01,269.476,0.5,11.85,281.826,2.793,0.863,1.93,7.2,263.728,12.827,276.556
2002-03-01,289.322,0.573,12.654,302.549,3.312,1.785,1.527,22.878,267.46,13.738,281.198
2002-04-01,277.126,0.546,12.176,289.848,3.411,1.73,1.681,20.369,257.946,13.214,271.16
2002-05-01,294.517,0.566,12.592,307.675,2.392,1.766,0.627,25.312,269.323,13.666,282.99
2002-06-01,327.553,0.642,12.829,341.023,3.152,1.338,1.814,32.376,296.47,13.992,310.461
2002-07-01,366.98,0.743,13.82,381.542,4.293,0.707,3.587,32.718,337.285,15.126,352.411
2002-08-01,360.351,0.797,13.438,374.586,4.067,1.106,2.961,24.647,338.115,14.786,352.9
2002-09-01,317.976,0.676,12.628,331.279,2.763,1.154,1.609,8.572,310.498,13.818,324.316
2002-10-01,294.096,0.6,12.363,307.059,2.482,1.16,1.322,10.739,284.178,13.465,297.643
2002-11-01,283.374,0.554,12.361,296.29,2.537,1.604,0.933,20.774,263.034,13.415,276.449
2002-12-01,311.516,0.622,12.697,324.834,2.27,1.743,0.527,25.065,286.462,13.833,300.296
2003-01-01,327.446,0.617,13.926,341.989,3.063,1.737,1.326,23.946,304.263,15.106,319.369
2003-02-01,286.699,0.55,11.999,299.249,2.725,1.793,0.931,4.905,282.24,13.035,295.275
2003-03-01,291.086,0.594,12.637,304.317,2.758,2.384,0.374,16.475,274.473,13.743,288.217
2003-04-01,273.016,0.581,12.159,285.756,2.561,1.724,0.837,16.65,256.71,13.232,269.942
2003-05-01,294.241,0.598,12.706,307.545,2.783,2.383,0.399,25.338,268.788,13.819,282.607
2003-06-01,315.306,0.624,12.763,328.694,2.872,2.481,0.391,24.729,290.45,13.905,304.355
2003-07-01,360.116,0.709,13.571,374.396,3.727,1.423,2.303,27.658,334.209,14.833,349.042
2003-08-01,367.42,0.718,13.678,381.816,3.614,1.408,2.206,27.25,341.819,14.953,356.772
2003-09-01,309.751,0.64,12.744,323.136,1.723,2.118,-0.395,2.249,306.59,13.902,320.492
2003-10-01,293.289,0.636,12.816,306.741,0.855,2.255,-1.399,13.989,277.38,13.973,291.353
2003-11-01,284.902,0.588,12.377,297.867,1.382,2.153,-0.771,20.653,262.977,13.466,276.443
2003-12-01,317.887,0.64,13.154,331.68,2.332,2.114,0.218,23.734,293.836,14.328,308.164
2004-01-01,332.296,0.694,13.555,346.546,2.276,2.149,0.127,24.016,307.856,14.8,322.657
2004-02-01,301.278,0.654,12.348,314.28,1.89,2.007,-0.117,14.225,286.433,13.505,299.938
2004-03-01,295.508,0.634,12.67,308.812,1.762,2.685,-0.923,15.889,278.182,13.819,292.001
2004-04-01,277.603,0.623,12.334,290.56,2.082,2.077,0.004,14.255,262.851,13.458,276.309
2004-05-01,313.916,0.699,12.765,327.38,2.448,2.272,0.176,34.535,279.036,13.985,293.021
2004-06-01,331.531,0.702,12.853,345.085,2.944,2.302,0.642,23.876,307.772,14.079,321.851
2004-07-01,362.932,0.763,13.637,377.332,4.168,1.271,2.897,31.364,333.907,14.957,348.864
2004-08-01,354.509,0.749,13.181,368.439,4.777,1.349,3.428,26.471,330.927,14.469,345.396
2004-09-01,322.329,0.707,12.586,335.622,2.938,1.988,0.95,14.199,308.566,13.807,322.373
2004-10-01,299.476,0.673,12.301,312.45,2.625,1.563,1.062,18.3,281.737,13.476,295.213
2004-11-01,289.208,0.656,12.237,302.101,3.035,1.539,1.496,20.042,270.163,13.392,283.555
2004-12-01,327.775,0.714,13.459,341.948,3.266,1.696,1.57,28.746,300.05,14.721,314.771
2005-01-01,329.896,0.737,12.489,343.121,3.173,1.695,1.478,22.572,309.079,12.948,322.027
2005-02-01,286.566,0.656,11.279,298.5,2.997,1.197,1.799,9.102,279.514,11.684,291.198
2005-03-01,304.624,0.702,12.132,317.458,3.445,1.056,2.389,20.491,286.791,12.565,299.356
2005-04-01,277.402,0.649,11.512,289.562,3.027,1.188,1.838,15.328,264.168,11.905,276.073
2005-05-01,302.523,0.686,11.853,315.062,3.281,1.762,1.519,30.805,273.5,12.276,285.776
2005-06-01,350.246,0.763,12.662,363.672,3.587,1.996,1.591,32.738,319.381,13.143,332.524
2005-07-01,387.63,0.823,13.821,402.274,4.381,1.582,2.799,35.222,355.514,14.337,369.851
2005-08-01,390.258,0.821,13.862,404.941,4.985,1.467,3.518,31.54,362.544,14.375,376.918
2005-09-01,337.681,0.718,11.819,350.218,3.709,1.863,1.846,8.867,330.923,12.273,343.197
2005-10-01,305.201,0.644,10.553,316.398,3.65,1.779,1.871,9.681,297.626,10.962,308.589
2005-11-01,294.691,0.627,10.797,306.115,3.77,1.715,2.055,22.4,274.585,11.184,285.77
2005-12-01,335.474,0.665,11.962,348.101,3.925,1.85,2.075,30.471,307.343,12.362,319.705
2006-01-01,315.254,0.684,12.72,328.658,3.879,2.436,1.443,12.661,304.866,12.574,317.44
2006-02-01,295.333,0.643,11.357,307.333,3.415,1.84,1.575,16.605,281.046,11.257,292.304
2006-03-01,306.041,0.643,12.046,318.73,3.702,2.045,1.658,18.514,289.97,11.903,301.873
2006-04-01,285.788,0.625,11.445,297.858,3.405,2.001,1.403,19.731,268.208,11.322,279.531
2006-05-01,317.522,0.713,12.38,330.616,3.719,2.265,1.453,32.588,287.198,12.283,299.481
2006-06-01,351.36,0.724,12.176,364.26,3.776,2.357,1.419,31.739,321.84,12.101,333.941
2006-07-01,396.263,0.783,13.375,410.421,4.714,1.646,3.068,37.821,362.387,13.281,375.668
2006-08-01,393.589,0.78,13.394,407.763,4.672,1.596,3.076,28.909,368.634,13.296,381.93
2006-09-01,319.181,0.682,12.193,332.055,2.18,2.179,0.001,2.696,317.282,12.077,329.36
2006-10-01,308.218,0.704,12.645,321.567,2.664,2.311,0.354,18.212,291.186,12.522,303.708
2006-11-01,296.571,0.682,11.906,309.159,2.913,2.154,0.759,20.928,277.182,11.808,288.99
2006-12-01,322.957,0.709,12.617,336.283,3.652,1.441,2.211,25.873,300.119,12.501,312.62
2007-01-01,339.968,0.669,12.894,353.531,3.477,1.575,1.902,29.072,315.104,11.258,326.361
